,ROME_PROFESSION_CARD_CODE,TXT_NAME
16,A1301,"Conseille et assiste techniquement les professionnels de l'agriculture, de l'aquaculture, de la sylviculture ou de l'élevage selon les orientations institutionnelles (préservation du patrimoine naturel, ...), les projets d'aménagement du territoire (dispositif de gestion de l'eau,...) ou d'implantation d'exploitation agricole et d'élevage, et la réglementation environnementale."
17,A1301,Peut former et sensibiliser différents publics. Peut réaliser des prélèvements d'échantillons.
18,A1301,Peut coordonner une équipe.
19,A1302,"Réalise les opérations de contrôle ou de diagnostic (surveillance, prélèvements, relevés de mesures) sur les lieux de production (élevages, abattoirs, ...) et de stockage (chambre froide, silo, ...) selon les règles d'hygiène, de sécurité et la réglementation sanitaire et environnementale."
20,A1302,Peut procéder à des contrôles de conformité et verbaliser les contrevenants à la réglementation.
21,A1302,Peut coordonner une équipe.
22,A1303,"Conduit des études ou des projets scientifiques et technico-économiques (étude de filière, aménagement et gestion de l'eau, mise en valeur et conservation du patrimoine, ...) selon les orientations institutionnelles et projets d'aménagement du territoire, d'implantation d'exploitations et la réglementation environnementale."
23,A1303,Peut mettre en oeuvre des appels d'offres et procéder au contrôle des réalisations. Peut former ou sensibiliser différents publics.
24,A1303,Peut coordonner une équipe.
25,A1401,"Réalise des opérations simples manuelles d'entretien de cultures, de récolte de fruits et de vendange selon les règles d'hygiène, les normes environnementales et les impératifs de production (rendement, délai, ...)."
26,A1401,Peut réaliser des opérations de conditionnement des produits.
27,A1402,"Réalise des opérations manuelles d'entretien des cultures et de récolte de légumes (endives, champignons, ...) ou végétaux (céréales, tabac, fleurs, ...) selon les règles d'hygiène, les normes environnementales et les impératifs de production (rendement, délai, ...)."
28,A1402,Peut réaliser des opérations de conditionnement des produits.
29,A1402,Peut effectuer des préparations de commandes.
30,A1403,"Effectue des opérations simples d'élevage (distribution de nourriture, capture, ramassage, entretien des locaux, ...) selon les règles d'hygiène, de sécurité et les normes environnementales."
31,A1403,Peut réaliser des opérations de tri et de conditionnement de produits de l'élevage.
32,A1403,Peut conduire un troupeau.
33,A1404,"Réalise les opérations d'élevage aquacole (installation de naissain, suivi de la production, récolte, ...) selon les objectifs de production (quantité, qualité, variétés, ...), les règles d'hygiène et de sécurité et la réglementation environnementale."
34,A1404,Peut réaliser la commercialisation de produits issus de la pêche.
35,A1404,Peut coordonner une équipe ou diriger une exploitation aquacole.
36,A1405,"Réalise les opérations culturales arboricoles ou viticoles (préparation des sols, plantation, taille, ébourgeonnage, application de produits phytosanitaires, récolte, ...) selon les objectifs de production (quantité, qualité, variétés, ...) et selon les règles d'hygiène, de sécurité et les normes environnementales."
37,A1405,"Peut réaliser les opérations de transformation, de conditionnement ou de commercialisation des produits."
38,A1405,Peut coordonner une équipe ou diriger une exploitation arboricole ou viticole.
39,A1406,"Détermine et commande les manoeuvres de déplacement d'un navire et coordonne les opérations de pêche selon les objectifs d'exploitation (quantitatifs, qualitatifs, ...), les règles d'hygiène, de sécurité et la réglementation environnementale."
40,A1406,Peut commercialiser les produits de la pêche.
41,A1406,Peut diriger un armement.
42,A1407,"Réalise les opérations d'élevage de bovins ou d'équins (soins d'entretien, reproduction, ...) selon les règles d'hygiène, de sécurité, les normes environnementales et les impératifs de production (rendement, ...)."
43,A1407,"Peut cultiver les plantes destinées à l'alimentation des animaux (fourrages, céréales, ...)."
44,A1407,Peut coordonner une équipe et diriger un élevage.
45,A1408,"Réalise les opérations d'élevage (nourrissage, soins d'entretien, reproduction, ...) sur sol, hors sol, en milieu aquatique, d'animaux rares, sauvages ou de compagnie, selon les règles d'hygiène, de sécurité, les normes environnementales et les impératifs de production."
46,A1408,"Peut transformer et commercialiser les produits issus de l'élevage (miel, pain d'épices, fourrure, ...)."
47,A1408,"Peut éduquer ou dresser des animaux de l'élevage (chiens, ...)."
48,A1408,Peut coordonner une équipe ou diriger un élevage.
49,A1409,"Réalise les opérations d'élevage hors-sol ou sur sol de lapins ou de volailles selon les règles d'hygiène, de sécurité, les normes environnementales et les impératifs de production."
50,A1409,"Peut transformer et commercialiser des produits issus de l'élevage (viande, oeufs, ...)."
51,A1409,Peut coordonner une équipe ou diriger un élevage.
52,A1410,"Réalise les opérations d'élevage d'ovins ou de caprins (soins d'entretien, reproduction, suivi sanitaire, ...) de plein air, hors sol, selon les règles d'hygiène, de sécurité, les normes environnementales et les impératifs de production."
53,A1410,"Peut transformer et commercialiser des produits issus de l'élevage (fabrication de fromages, ...)."
54,A1410,"Peut cultiver les plantes destinées à l'alimentation des animaux (fourrages, céréales, ...)."
55,A1410,Peut coordonner une équipe ou diriger un élevage.
56,A1411,"Réalise les opérations d'élevage (nourrissage, reproduction, soins d'entretien, ...) de porcs en verraterie, en maternité, ou en engraissement, ... selon les règles d'hygiène, de sécurité, les normes environnementales et les impératifs de production."
57,A1411,"Peut cultiver les plantes destinées à l'alimentation des animaux (fourrages, céréales, ...)."
58,A1411,"Peut transformer des produits issus de l'élevage (charcuterie, ...)."
59,A1411,Peut coordonner une équipe ou diriger un élevage.
60,A1412,"Réalise la fabrication et l'affinage de fromages selon les règles d'hygiène et de sécurité alimentaires, la réglementation des AOC (Appellation d'Origine Contrôlée) et les référentiels qualité de l'entreprise."
61,A1412,Peut effectuer des opérations de commercialisation des produits.
62,A1412,"Peut coordonner une équipe ou gérer une entreprise (fromagerie, ...)."
63,A1413,"Met en oeuvre ou supervise les étapes de fabrication, de conservation et de conditionnement de boissons alcoolisées (vin, bière, cidre, ...) selon les réglementations de fabrication, les réglementations AOC (Appellation d'Origine Contrôlée), les règles d'hygiène et de sécurité alimentaires et les critères qualité de l'entreprise."
64,A1413,Peut effectuer les opérations de vente des produits.
65,A1413,"Peut coordonner une équipe ou gérer une structure (cidrerie, cave, ...)."
66,A1414,"Réalise les opérations de mise en culture (semis, repiquage, traitement, récolte, ...) d'espèces végétales (horticole, maraîchère, pépinière) selon les règles de sécurité et les objectifs d'exploitations (commerciaux, qualitatifs, ...)."
67,A1414,Peut réaliser les opérations de conditionnement des produits récoltés.
68,A1414,Peut coordonner une équipe ou diriger une exploitation.
69,A1415,"Réalise les opérations de pêche côtière ou de pleine mer (capture et conditionnement des prises, entretien et nettoyage du navire et des équipements, ...) selon les règles de sécurité et les objectifs d'exploitation (commerciaux, qualitatifs, ...)."
70,A1415,Peut coordonner un équipage.
71,A1416,"Réalise les opérations de culture de plein champ (semis, traitements, récolte) de céréales et d'autres produits (pommes de terre, betteraves, tabac, tournesol, colza,) selon les objectifs de production (quantité, qualité, variétés, ...), les règles d'hygiène, de sécurité et les normes environnementales."
72,A1416,Peut réaliser des activités d'élevage.
73,A1416,Peut coordonner une équipe ou diriger une exploitation agricole.
74,A1417,"Réalise les opérations de production de sel (entretien et maintenance des sites salins, mise en eau et régulation des niveaux d'eau, récolte, ...) selon les objectifs d'exploitation (commerciaux, qualitatifs, ...), les règles d'hygiène et de sécurité et les normes environnementales."
75,A1417,Peut coordonner une équipe ou diriger une exploitation salicole.
76,A1501,"Réalise des soins de confort animalier (préparation, distribution de nourriture, nettoyage de l'environnement, ...) selon les besoins et caractéristiques de l'animal."
77,A1501,Peut mener des actions d'assistance au praticien vétérinaire lors de soins vétérinaires.
78,A1501,Peut réaliser le suivi administratif de la structure.
79,A1502,"Entretient le pied (sabot, onglon) des chevaux ou des bovins afin de garantir l'aplomb et la santé de l'animal selon ses besoins et caractéristiques et les règles de sécurité et d'hygiène."
80,A1502,Peut poser des ferrures pathologiques ou thérapeutiques. Peut façonner le fer en totalité.
81,A1502,Peut diriger une structure.
82,A1503,Réalise des soins animaliers d'hygiène selon les besoins et les caractéristiques de l'animal et les règles d'hygiène.
83,A1503,Peut effectuer la préparation ou la distribution de nourriture aux animaux.
84,A1503,Peut diriger un salon de toilettage.
85,A1504,"Prévient, diagnostique les maladies animales et réalise les soins auprès des animaux selon les besoins médicaux, chirurgicaux et les impératifs de sécurité sanitaire."
86,A1504,"Peut procéder à des analyses biologiques, à des examens d'exploration fonctionnelle sur des animaux."
87,A1504,"Peut mener des actions de conseil et d'information auprès d'éleveurs en matière de production animale (hygiène, alimentation, reproduction, ...)."
88,A1504,"Peut coordonner une équipe, diriger une structure."
89,B1101,"Conçoit et réalise ou supervise la réalisation d'oeuvres plastiques (sculpture, peinture, installation artistique, ...) sur un thème imposé ou non."
90,B1101,"Peut organiser des expositions, mener des actions d'animation ou de formation."
91,B1101,Peut coordonner une équipe.
92,B1201,"Façonne et décore, à l'unité ou en petite série, des pièces décoratives ou utilitaires en céramique ou en matériaux de synthèse."
93,B1201,Peut créer et commercialiser des pièces façonnées et réaliser la restauration de pièces anciennes.
94,B1201,Peut transmettre son savoir-faire.
95,B1201,Peut diriger un service ou une structure.
96,B1301,"Conçoit et réalise la décoration et l'aménagement de vitrines, d'espaces de vente, d'expositions, pour valoriser des produits, des services, l'image de marque d'une entreprise et susciter l'intérêt des clients selon les critères marketing de l'entreprise, les réglementations du commerce et les normes de sécurité du bâtiment."
97,B1301,"Peut contrôler la conformité d'application des protocoles de présentation des produits sur un ensemble de sites commerciaux, et former des vendeurs, des chefs de rayon à la mise en place des produits."
98,B1301,"Peut fabriquer des objets décoratifs (miroir, cadre, ...)."
99,B1301,Peut coordonner une équipe ou diriger une structure.
100,B1302,"Réalise manuellement les opérations nécessaires à la décoration et à la finition (peinture, laque, vernis, émail, ...) d'objets d'art ou d'artisanat."
101,B1302,"Peut appliquer un revêtement décoratif ou de protection sur des objets, peindre des décors à main levée et effectuer la restauration d'objets anciens."
102,B1302,Peut transmettre son savoir-faire et participer à des actions de sensibilisation de sa profession.
103,B1302,Peut diriger un service ou une structure.
104,B1303,"Décore, ornemente des articles, uniques ou en série limitée, d'arts de la table (argenterie, théières, ...), de décoration (miroirs, meubles, ...), de parure (bijoux, ...), de loisirs sportifs (armes, ...), funéraires (stèles, ...). Intervient sur divers matériaux (métaux, minéraux, matières organiques, synthétiques , cristal, ...) par incision, défoncement de matière, au moyen d'outils manuels (burin, pointe à tracer, ciselet, ...) ou de machines (cabine à sabler, meule, ...), selon les règles d'hygiène et sécurité."
105,B1303,Peut réaliser des gravures en creux pour des matrices ou des outillages et effectuer la restauration d'objets anciens.
106,B1303,Peut transmettre son savoir-faire et participer à des actions de sensibilisation de sa profession.
107,B1303,Peut diriger un service ou une structure.
108,B1401,"Façonne à la main, au détail ou en petite série, des pièces et ouvrages décoratifs ou utilitaires (assises de siège, paniers, corbeilles de boulanger, objets d'ameublement, ...) à base de fibres, brins et lianes végétaux (paille, osier, rotin, ...)."
109,B1401,"Peut créer de nouveaux modèles, usiner le rotin ou le bois, réaliser des architectures végétales décoratives ou utilitaires et cultiver l'osier."
110,B1401,Peut mener des actions de formation ou de sensibilisation à la profession.
111,B1401,Peut diriger une structure.
112,B1402,"Réalise manuellement des opérations de valorisation, de protection et de réparation de différents types d'ouvrages en papier, imprimés ou manuscrits (livres de bibliophilie, registres, cartes, ...) selon leurs particularités (époque, matériaux, ...)."
113,B1402,"Peut confectionner des décors de couverture ou restaurer des ouvrages particuliers (cartes, affiches, ...)."
114,B1402,Peut former différents publics aux techniques de reliure/restauration.
115,B1402,Peut coordonner une équipe et diriger une structure.
116,B1501,"Effectue la maintenance, la réparation, la révision, le réglage et l'accord d'instruments de musique ou d'accessoires (archet, ...). Façonne des éléments constitutifs de l'instrument."
117,B1501,"Peut fabriquer à l'unité ou en petite série un instrument (bois, cuivre, ...) et y apporter des corrections esthétiques et acoustiques."
118,B1501,Peut restaurer des instruments anciens.
119,B1501,Peut transmettre son savoir-faire.
120,B1501,Peut effectuer la vente ou la location d'instruments et d'accessoires.
121,B1501,Peut diriger un service ou une structure.
122,B1601,"Crée à l'unité ou en petite série et répare des pièces décoratives et utilitaires de grande taille (statuaire monumentale, rampes d'escaliers, grilles ornementales, ...) ou de petite dimension (statues, pièces d'orfèvrerie, couteaux, armes, clés, serrures anciennes, ...) en différents métaux (acier, cuivre, laiton, bronze, étain, ...), par divers procédés artisanaux de travail des métaux (usinage, formage, moulage ...) selon les règles d'hygiène et de sécurité."
123,B1601,Peut effectuer la restauration d'objets anciens en métal.
124,B1601,Peut transmettre son savoir-faire et participer à des actions de sensibilisation de sa profession.
125,B1601,Peut diriger une structure.
126,B1602,"Réalise, à l'unité ou en petite série, à froid ou à chaud, des pièces décoratives ou utilitaires en verre à partir de pâte en fusion, poudre, plaque, baguette, ... selon les règles d'hygiène et de sécurité."
127,B1602,"Peut usiner et assembler des éléments en verre et poser des pièces verrières (vitrail, néon, ...) sur les chantiers."
128,B1602,"Peut transmettre son savoir-faire, participer à des actions de sensibilisation de sa profession et intervenir sur la restauration de pièces anciennes."
129,B1602,Peut coordonner une équipe et diriger un service ou une structure.
130,B1603,"Conçoit, fabrique ou répare, manuellement ou par des procédés mécaniques, des bijoux, des pièces d'orfèvrerie des objets de décoration ou de culte en métal."
131,B1603,"Peut restaurer ou modifier des objets de décoration ou des bijoux anciens, tailler des gemmes, appliquer un revêtement métallique ou effectuer des opérations de décoration par gravure, ciselure, ..."
132,B1603,Peut coordonner une équipe et diriger un service ou une structure.
133,B1604,"Met en service ou remet en état des produits d'horlogerie de petit ou de gros volume (montre, pendule, horloge d'édifice, ...)."
134,B1604,"Peut assembler des composants de mouvements complexes, habiller les mouvements d'horlogerie et usiner des pièces défectueuses ou manquantes."
135,B1604,Peut effectuer la vente de pièces d'horlogerie et intervenir sur la restauration de pièces anciennes.
136,B1604,Peut coordonner une équipe et diriger une structure.
137,B1701,"Reconstitue des spécimens d'espèces animales, contemporaines ou paléontologiques et leur milieu naturel dans un objectif scientifique, pédagogique et esthétique selon les règles d'hygiène et de sécurité, et la réglementation (environnement, protection des espèces, ...)."
138,B1701,"Peut réaliser des montages ostéologiques, des moulages, des prises d'empreintes (crustacés, invertébrés, crânes de gros mammifères,...)."
139,B1701,Peut inventorier une collection d'animaux naturalisés et exposer des naturalisations.
140,B1701,Peut diriger une structure.
141,B1801,"Façonne à la main ou à la machine sur mesure ou en petite série des articles de chapellerie (chapeaux, parures de tête,...) en différents matériaux (feutre, paille, tissu,...)."
142,B1801,"Peut créer de nouveaux modèles et réaliser les éléments d'ornement (en plumes, perles,...)."
143,B1801,Peut diriger une structure.
144,B1802,"Réalise à la main ou à la machine les opérations (coupe, couture, collage, ...) nécessaires à la fabrication d'objets en cuir et autres matériaux souples (chaussures, sacs, selles, gants, ...) à l'unité ou en petite série selon les spécificités des clients, les règles d'hygiène et de sécurité."
145,B1802,"Peut réparer ou restaurer des articles endommagés, concevoir de nouvelles collections et modèles."
146,B1802,Peut coordonner une équipe et diriger une structure.
147,B1803,"Façonne à la main ou à la machine sur mesure ou en petite série des vêtements (pantalons, robes de soirée, manteaux, ...) en différents matériaux (tissu, cuir, fourrure, ...)."
148,B1803,"Peut créer de nouveaux modèles, réaliser des croquis, réaliser des retouches sur des vêtements."
149,B1803,Peut coordonner une équipe et diriger une structure.
150,B1804,"Réalise ou ornemente à l'unité ou en petite série des ouvrages d'art en fils de différents matériaux (soie, laine, coton, plumes, perles, ...) selon différentes techniques (broderie, tissage, ...)."
151,B1804,"Peut réaliser, restaurer des ouvrages d'art textiles (tapis, tapisserie, ...), concevoir de nouveaux modèles et former aux techniques."
152,B1804,Peut diriger une structure.
153,B1805,"Crée et conçoit des lignes nouvelles (style, forme, matières, coloris, ...) de produits textiles (habillement, tissu, ...), d'articles chaussants ou d'accessoires de mode (bijoux, ...) en tenant compte du style et de l'image de la marque, et des impératifs techniques et économiques de production."
154,B1805,"Peut se spécialiser dans le stylisme d'un ou plusieurs produits (vêtements de sport, chaussures enfant, ...), dans le dessin artistique ou élaborer une gamme de motifs textiles (broderie, ...)."
155,B1805,"Peut réaliser les modèles, organiser les étapes de la diffusion de la collection."
156,B1805,"Peut coordonner une équipe, diriger un service ou une structure."
157,B1806,"Réalise à la main et à la machine les opérations de fabrication (garnissage, recouvrement, ...) et de rénovation d'assises de sièges, de matelas, d'éléments d'ameublement (rideaux, voilages, tentures, ...) à l'unité ou en petite série."
158,B1806,"Peut remettre en état les carcasses de sièges, réaliser la pose de tentures, plafonds tendus, toiles murales, ... chez les clients."
159,B1806,Peut coordonner une équipe et diriger une structure.
160,C1101,"Conçoit et adapte de nouveaux produits d'assurances. Organise leur diffusion auprès du réseau de vente (agences commerciales, agents généraux d'assurances, courtiers en assurances, ...) selon la réglementation de l'assurance et la stratégie commerciale de l'établissement."
161,C1101,Peut élaborer la stratégie commerciale globale de l'établissement.
162,C1101,Peut réaliser des études techniques et actuarielles dans le cadre de la conception de produits d'assurances.
163,C1101,Peut coordonner une ou plusieurs équipe(s).
164,C1102,"Informe et conseille des particuliers, des entreprises, ... en matière d'assurance de biens et de personnes (incendie, accidents, retraite, prévoyance, ...). Procède à la vente de produits et services selon la politique commerciale de l'établissement et la réglementation de l'assurance."
165,C1102,"Peut réaliser le montage technique (projet de tarification, ...) et administratif des contrats."
166,C1102,Peut promouvoir des produits et services bancaires.
167,C1103,"Accompagne une clientèle (particuliers, professionnels, entreprises, ...) dans le choix et le suivi de produits ou de services d'assurances (assurance Incendie, Accidents, Risques Divers -IARD-, assurance vie, ...), selon la réglementation de l'assurance et la stratégie commerciale du cabinet ou de la compagnie mandante."
168,C1103,"Développe et fidélise une clientèle de professionnels (artisans, commerçants, ...) ou de particuliers."
169,C1103,"Peut assurer la gestion de sinistres (déclaration, encaissement, suivi, ...) jusqu'au règlement."
170,C1103,Peut assurer la gestion d'une ou plusieurs structures (agence ou cabinet).
171,C1103,Peut coordonner une équipe.
172,C1104,"Organise la planification de l'activité, la gestion administrative et le développement commercial d'une structure dans le domaine de l'assurance (agence, délégation départementale, ...), selon la politique commerciale de l'établissement et la réglementation de l'assurance."
173,C1104,Peut conseiller des clients et vendre des produits d'assurances.
174,C1104,Peut traiter les réclamations de clients.
175,C1105,"Evalue à court, moyen et long terme la rentabilité des produits d'assurances (santé, habitation, automobile, ...), des produits financiers (assurance vie, épargne, ...) en fonction de l'évolution de l'environnement (espérance de vie, mortalité, cours des marchés, ...) et selon la réglementation de l'assurance et la stratégie commerciale de l'entreprise."
176,C1105,Peut coordonner ou effectuer le contrôle de gestion d'actifs d'une structure.
177,C1105,Peut coordonner une équipe.
178,C1106,"Analyse et évalue les risques (professionnels, sanitaires, incendies, vols, ...) dans le cadre de la souscription ou de la révision de contrats d'assurances. Apporte des conseils/recommandations en matière de prévention des risques auprès des assurés (entreprises, salariés, particuliers, ...) selon la réglementation de l'assurance du domaine d'intervention (hygiène et sécurité au travail, transport et sécurité routière, ...)."
179,C1106,Peut réaliser des actions de sensibilisation auprès de divers publics.
180,C1106,Peut intervenir après des sinistres pour évaluer le montant des dommages et des préjudices.
181,C1106,Peut coordonner une équipe.
182,C1107,"Enquête sur l'origine de sinistres (accidents, incendies, dégâts des eaux, ...). Evalue le montant des dommages (corporels, matériels, économiques, ...) et propose une indemnisation aux parties concernées (victimes, assurés, ...) selon la réglementation de l'assurance et les garanties prévues dans les contrats souscrits."
183,C1107,Peut proposer des adaptations ou des évolutions de produits d'assurances au service marketing.
184,C1107,Peut coordonner une équipe.
185,C1108,"Supervise et coordonne les activités d'un service/groupe/département spécialisé (production, sinistres, ...) selon les procédures qualité et la réglementation de l'assurance."
186,C1108,Peut établir des contrats de partenariat.
187,C1108,Peut animer des actions de formation interne.
188,C1109,"Réalise la rédaction et la gestion (souscription, codification, ...) de contrats d'assurances (risques automobiles, industriels, habitation,...) par référence à des contrats préétablis ou par adaptation de clauses-types, selon la règlementation de l'assurance."
189,C1109,Peut réaliser les appels de cotisations et contrôler leur encaissement.
190,C1109,Peut gérer des litiges et contentieux.
191,C1110,"Définit et met en place les règles de souscription et les niveaux de tarification de produits d'assurances (assurance de personnes, de biens industriels, ...), selon les impératifs commerciaux de la société d'assurance et la réglementation de l'assurance."
192,C1110,Réalise le suivi d'un portefeuille de produits d'assurances et l'analyse de résultats.
193,C1110,Peut proposer des couvertures de réassurance (facultative et/ou obligatoire).
194,C1110,Peut coordonner une équipe.
195,C1201,Accueille et oriente physiquement et téléphoniquement la clientèle - informe les clients sur les services/produits de base de la banque et de l'assurance. Réalise les opérations courantes de guichet selon les règles et consignes de sécurité des personnes et des biens.
196,C1201,Peut réaliser le suivi des besoins en numéraire de la structure.
197,C1202,"Etudie et rend avis ou décision sur des demandes de crédits particuliers ou entreprises (immobilier, consommation, ...) et évalue les risques liés à leur octroi selon la stratégie commerciale et financière globale de l'établissement et la réglementation bancaire."
198,C1202,"Peut élaborer des supports contractuels, effectuer le suivi des contrats d'assurances rattachés aux crédits."
199,C1202,Peut coordonner une équipe.
200,C1203,"Conseille et propose des solutions bancaires globales (stratégie d'immobilisation de capital, placement, ...) auprès d'un portefeuille de clients (grandes entreprises, institutionnels, ...) selon la politique commerciale de la banque et la réglementation bancaire."
201,C1203,Peut définir une stratégie commerciale sur son secteur/marché. Peut financer des transactions de commerce international.
202,C1203,Peut coordonner une équipe.
203,C1204,"Réalise l'étude, la conception et la mise sur le marché de produits bancaires selon la stratégie et l'offre commerciale globale de la banque et la réglementation bancaire."
204,C1204,"Peut définir un plan média, rendre décision sur l'octroi de crédits."
205,C1204,Peut coordonner une équipe.
206,C1205,Conseil et guide une clientèle de particuliers/personnes physiques dans le choix d'investissements/placements pour constituer ou optimiser leur patrimoine financier selon la réglementation bancaire et financière.
207,C1205,Peut mettre en oeuvre des mandats de gestion.
208,C1205,Peut diriger une structure.
209,C1206,"Assure le conseil, la promotion et la vente des produits et services financiers de son établissement, auprès d'une clientèle de particuliers, de professionnels et d'entreprises, selon la réglementation bancaire."
210,C1206,Peut réaliser des analyses de marché d'entreprises. Peut accorder ou refuser des demandes de prêts.
211,C1206,Peut aussi proposer des produits d'assurances.
212,C1207,"Organise la planification et le fonctionnement d'une structure bancaire (caisse locale, service, bureau, agence, ...) selon les orientations de la politique commerciale de la banque et la réglementation bancaire."
213,C1207,"Peut gérer un portefeuille de clients, représenter son établissement auprès d'instances administratives ou juridiques et former des collaborateurs à divers produits financiers."
214,C1301,"Emet des ordres de placement, d'achat et de vente de produits boursiers (taux, titres, ...) sur les marchés financiers sous le contrôle de l'Autorité des Marchés Financiers -AMF- et selon la législation financière."
215,C1301,Peut effectuer la gestion d'un portefeuille d'actifs financiers. Peut procéder au contrôle de conformité des opérations/transactions.
216,C1301,Peut coordonner une équipe.
217,C1302,"Organise le suivi, le contrôle et l'enregistrement des opérations réalisées sur les marchés financiers (de change, de titres, ...) selon les procédures qualité de l'établissement d'appartenance et les réglementations bancaires et financières."
218,C1302,Peut définir les procédures de traitement des opérations de marché. Peut réaliser le suivi qualité des procédures administratives.
219,C1302,Peut coordonner une équipe.
220,C1303,"Optimiser le rendement de portefeuilles constitués d'actifs financiers pour le compte de tiers (entreprises, particuliers, institutionnels) ou pour l'entreprise d'appartenance, sous le contrôle de l'Autorité des Marchés Financiers -AMF- et selon la législation."
221,C1401,"Réalise le suivi administratif de dossiers, la saisie ou la vérification d'opérations bancaires (ordres de bourse, remises de chèque, ...) ou d'assurance (saisie des contrats, mise à jour de cotisation, ...), selon la réglementation de l'assurance ou la réglementation bancaire."
222,C1401,"Peut effectuer la gestion de contrats d'assurances (appel à cotisation, ...)."
223,C1401,"Peut réaliser des opérations commerciales (démarchage téléphonique, ...)."
224,C1501,"Administre un ou plusieurs site(s) immobilier(s) et met en oeuvre les moyens techniques, administratifs, financiers et comptables de conservation ou d'amélioration du patrimoine immobilier selon la réglementation."
225,C1501,"Peut coordonner une équipe, diriger une structure."
226,C1502,"Effectue la gestion locative et administrative d'un portefeuille de biens immobiliers dans les domaines de l'entretien, du nettoyage, de l'hygiène et de la sécurité technique notamment. Veille à la cohérence et à la qualité des services rendus aux clients et aux bonnes relations avec le bailleur."
227,C1502,"Donne un premier niveau d'information aux différents interlocuteurs (locataires, prestataires, personnels de proximité, ...)."
228,C1502,"Peut être amené à recruter ou former du personnel dit de « proximité » (gardiens, agents d'entretien, agents d'immeuble)."
229,C1503,"Supervise les études de faisabilité techniques, financières, administratives de projets, programmes immobiliers en fonction des besoins d'une clientèle potentielle ou d'une collectivité. Assure le lancement et la pré-commercialisation des réalisations immobilières selon la réglementation, les délais et les objectifs de rentabilité."
230,C1503,"Coordonne les différentes étapes du projet immobilier: conception (étude, montage du dossier, ...), choix des maîtres d'oeuvres, construction, réception des ouvrages."
231,C1503,"Peut assister les responsables de programmes immobiliers (suivi des contrats de réservation, suivi des appels de fonds, situation des travaux, préparation des livraisons, ...)."
232,C1503,Peut prospecter les terrains à bâtir.
233,C1503,"Peut coordonner une équipe, diriger une structure."
234,C1504,"Réalise des transactions immobilières et/ou foncières (location, vente) et conseille des clients sur les possibilités d'acquisition, de location, de vente selon la législation de l'immobilier."
235,C1504,"Peut être spécialisé dans un domaine (immobilier d'entreprise, de commerce, ...)."
236,C1504,Peut diriger une agence immobilière ou un réseau d'agences.
237,D1101,Réalise les opérations de préparation de viandes et de spécialités bouchères selon les règles d'hygiène et de sécurité alimentaires.
238,D1101,Peut effectuer la vente de produits de boucherie.
239,D1101,"Peut gérer un commerce de détail alimentaire (boucherie, boucherie-charcuterie, ...)."
240,D1102,Prépare et réalise des produits de boulangerie et de viennoiserie selon les règles d'hygiène et de sécurité alimentaires.
241,D1102,"Peut effectuer la vente de produits de boulangerie, viennoiserie."
242,D1102,"Peut gérer un commerce de détail alimentaire (boulangerie, boulangerie-pâtisserie, ...)."
243,D1103,"Prépare et réalise des produits de charcuterie et des produits traiteurs (entrées froides, entrées chaudes, plats cuisinés) selon les règles d'hygiène et de sécurité alimentaires."
244,D1103,Peut effectuer la vente de produits de charcuterie et de produits traiteurs.
245,D1103,"Peut gérer un commerce de détail alimentaire (charcuterie, boucherie-charcuterie, ...)."
